Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Sackville,Sackville,"Apt &
Other /
App. &
autres",**,',$931,a,"$1,098",a,"$1,288",a,"$1,101",a
N.S./N.-É.,Halifax,Sackville,Sackville,Total,**,',$931,a,"$1,100",a,"$1,303",a,"$1,112",a
N.S./N.-É.,Halifax,Sackville,Total,"Row / En
bande",--,',--,',**,',"$1,382",a,"$1,381",a
N.S./N.-É.,Halifax,Sackville,Total,"Apt &
Other /
App. &
autres",**,',$931,a,"$1,098",a,"$1,288",a,"$1,101",a
N.S./N.-É.,Halifax,Sackville,Total,Total,**,',$931,a,"$1,100",a,"$1,303",a,"$1,112",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Row / En
bande",--,',--,',**,',--,',**,'
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,"Apt &
Other /
App. &
autres",--,',$923,b,"$1,288",c,--,',"$1,185",c
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Timberlea/Beechville,Total,--,',$923,b,"$1,288",c,--,',"$1,185",c
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Row / En
bande",--,',--,',**,',--,',**,'
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,"Apt &
Other /
App. &
autres",**,',"$1,295",a,"$1,633",a,"$1,798",a,"$1,600",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Hammonds Plains,Total,**,',"$1,295",a,"$1,628",a,"$1,798",a,"$1,596",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,"Apt &
Other /
App. &
autres",--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Herring Cove/Terence Bay/Prospect etc.,Total,--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Row / En
bande",--,',--,',**,',"$1,375",a,"$1,375",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,"Apt &
Other /
App. &
autres",**,',**,',$701,a,**,',$774,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Waverley/Fall River/Beaverbank,Total,**,',**,',$701,a,"$1,375",a,$952,a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Row / En
bande",--,',**,',**,',--,',"$1,400",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),"Apt &
Other /
App. &
autres",--,',--,',**,',--,',**,'
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Halifax County East ~ Comté d'Halifax (Est),Total,--,',**,',"$1,138",d,--,',"$1,245",b
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,',**,',"$1,400",a,"$1,375",a,"$1,389",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",**,',"$1,074",a,"$1,503",a,"$1,548",b,"$1,422",a
N.S./N.-É.,Halifax,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',"$1,103",a,"$1,500",a,"$1,458",a,"$1,420",a
N.S./N.-É.,Halifax,Total,Total,"Row / En
bande",**,',"$1,003",c,"$1,216",b,"$1,428",a,"$1,317",b
N.S./N.-É.,Halifax,Total,Total,"Apt &
Other /
App. &
autres",$812,a,$959,a,"$1,202",a,"$1,390",a,"$1,113",a
N.S./N.-É.,Halifax,Total,Total,Total,$812,a,$960,a,"$1,202",a,"$1,393",a,"$1,116",a
N.S./N.-É.,Total,Total,Total,"Row / En
bande",**,',"$1,003",c,"$1,216",b,"$1,428",a,"$1,317",b
N.S./N.-É.,Total,Total,Total,"Apt &
Other /
App. &
autres",$812,a,$959,a,"$1,202",a,"$1,390",a,"$1,113",a
N.S./N.-É.,Total,Total,Total,Total,$812,a,$960,a,"$1,202",a,"$1,393",a,"$1,116",a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Row / En
bande",**,',**,',**,',**,',**,'
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),"Apt &
Other /
App. &
autres",$611,b,$748,a,$853,a,$904,d,$800,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Downtown Moncton ~ Moncton (centre-ville),Total,$611,b,$748,a,$853,a,$896,c,$800,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Row / En
bande",--,',--,',**,',--,',**,'
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,"Apt &
Other /
App. &
autres",$576,a,$677,a,$793,b,$857,b,$760,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Garden Hill,Total,$576,a,$677,a,$796,b,$857,b,$763,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Row / En
bande",**,',**,',**,',**,',**,'
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,"Apt &
Other /
App. &
autres",$602,b,$727,a,$829,a,$867,b,$785,a
N.B./N.-B.,Moncton,Central Moncton ~ Moncton Centre,Total,Total,$602,b,$727,a,$830,a,$866,b,$786,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,"Apt &
Other /
App. &
autres",$631,b,$698,a,$820,a,$856,b,$768,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,West Moncton ~ Moncton Ouest,Total,$631,b,$698,a,$820,a,$856,b,$768,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,"Apt &
Other /
App. &
autres",$631,b,$698,a,$820,a,$856,b,$768,a
N.B./N.-B.,Moncton,West Moncton ~ Moncton Ouest,Total,Total,$631,b,$698,a,$820,a,$856,b,$768,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,"Apt &
Other /
App. &
autres",**,',$635,b,$837,a,$789,d,$811,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Sunny Brae,Total,**,',$635,b,$837,a,$789,d,$811,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Row / En
bande",--,',--,',**,',--,',**,'
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,"Apt &
Other /
App. &
autres",**,',$678,b,$963,c,**,',$896,c
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Lewisville/Harrisville,Total,**,',$678,b,$971,c,**,',$904,c
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Row / En
bande",--,',**,',**,',--,',**,'
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,"Apt &
Other /
App. &
autres",$695,a,$682,a,$815,a,$911,a,$794,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Humphrey,Total,$695,a,$679,a,$814,a,$911,a,$792,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,"Apt &
Other /
App. &
autres",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Magnetic Hill/Irishtown,Total,--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Row / En
bande",--,',**,',$931,b,--,',$882,b
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,"Apt &
Other /
App. &
autres",$649,b,$677,a,$847,a,$907,a,$816,a
N.B./N.-B.,Moncton,East Moncton ~ Moncton Est,Total,Total,$649,b,$675,a,$849,a,$907,a,$817,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Row / En
bande",--,,--,,--,,--,,--,
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,"Apt &
Other /
App. &
autres",$614,a,$770,a,$909,a,"$1,041",c,$855,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,Parkton,Total,$614,a,$770,a,$909,a,"$1,041",c,$855,a
N.B./N.-B.,Moncton,North Moncton ~ Moncton Nord,North End/Ryan Road/Hildegarde,"Row / En
bande",--,,--,,--,,--,,--,
